Package	Version	LibPath
gplots	3.3.0	/usr/local/lib/R/site-library
graphics	4.5.3	/usr/local/lib/R/library
graphlayouts	1.2.3	/usr/local/lib/R/site-library
grDevices	4.5.3	/usr/local/lib/R/library
grid	4.5.3	/usr/local/lib/R/library
gridExtra	2.3	/usr/local/lib/R/site-library
gridGraphics	0.5-1	/usr/local/lib/R/site-library
grr	0.9.5	/usr/local/lib/R/site-library
gson	0.1.0	/usr/local/lib/R/site-library
gtable	0.3.6	/usr/local/lib/R/site-library
gtools	3.9.5	/usr/local/lib/R/site-library
h5mread	1.2.1	/usr/local/lib/R/site-library
harmony	2.0.3	/usr/local/lib/R/site-library
haven	2.5.5	/usr/local/lib/R/site-library
HDF5Array	1.38.0	/usr/local/lib/R/site-library
hdf5r	1.3.12	/usr/local/lib/R/site-library
hdWGCNA	0.4.11	/usr/local/lib/R/site-library
here	1.0.2	/usr/local/lib/R/site-library
hexbin	1.28.5	/usr/local/lib/R/site-library
highr	0.12	/usr/local/lib/R/site-library
Hmisc	5.2-5	/usr/local/lib/R/site-library
hms	1.1.4	/usr/local/lib/R/site-library
htmlTable	2.5.0	/usr/local/lib/R/site-library
htmltools	0.5.9	/usr/local/lib/R/site-library
htmlwidgets	1.6.4	/usr/local/lib/R/site-library
httpuv	1.6.17	/usr/local/lib/R/site-library
httr	1.4.8	/usr/local/lib/R/site-library
httr2	1.2.2	/usr/local/lib/R/site-library
ica	1.0-3	/usr/local/lib/R/site-library
ids	1.0.1	/usr/local/lib/R/site-library
igraph	2.3.2	/usr/local/lib/R/site-library
impute	1.84.0	/usr/local/lib/R/site-library
ini	0.3.1	/usr/local/lib/R/site-library
IRanges	2.44.0	/usr/local/lib/R/site-library
irlba	2.3.7	/usr/local/lib/R/site-library
isoband	0.3.0	/usr/local/lib/R/site-library
iterators	1.0.14	/usr/local/lib/R/site-library
jquerylib	0.1.4	/usr/local/lib/R/site-library
jsonlite	2.0.0	/usr/local/lib/R/site-library
kableExtra	1.4.0	/usr/local/lib/R/site-library
KEGGREST	1.50.0	/usr/local/lib/R/site-library
KernSmooth	2.23-26	/usr/local/lib/R/site-library
KernSmooth	2.23-26	/usr/local/lib/R/library
knitr	1.51	/usr/local/lib/R/site-library
labeling	0.4.3	/usr/local/lib/R/site-library
lambda.r	1.2.4	/usr/local/lib/R/site-library
later	1.4.8	/usr/local/lib/R/site-library
lattice	0.22-9	/usr/local/lib/R/library
lazyeval	0.2.3	/usr/local/lib/R/site-library
leidenbase	0.1.37	/usr/local/lib/R/site-library
lifecycle	1.0.5	/usr/local/lib/R/site-library
limma	3.66.0	/usr/local/lib/R/site-library
listenv	0.10.1	/usr/local/lib/R/site-library
littler	0.3.23	/usr/local/lib/R/site-library
lme4	2.0-1	/usr/local/lib/R/site-library
lmtest	0.9-40	/usr/local/lib/R/site-library
locfit	1.5-9.12	/usr/local/lib/R/site-library
lubridate	1.9.5	/usr/local/lib/R/site-library
magrittr	2.0.5	/usr/local/lib/R/site-library
maps	3.4.3	/usr/local/lib/R/site-library
MASS	7.3-65	/usr/local/lib/R/site-library
MASS	7.3-65	/usr/local/lib/R/library
Matrix	1.7-5	/usr/local/lib/R/site-library
Matrix	1.7-4	/usr/local/lib/R/library
MatrixGenerics	1.22.0	/usr/local/lib/R/site-library
MatrixModels	0.5-4	/usr/local/lib/R/site-library
matrixStats	1.5.0	/usr/local/lib/R/site-library
memoise	2.0.1	/usr/local/lib/R/site-library
methods	4.5.3	/usr/local/lib/R/library
mgcv	1.9-4	/usr/local/lib/R/library
microbenchmark	1.5.0	/usr/local/lib/R/site-library
mime	0.13	/usr/local/lib/R/site-library
miniUI	0.1.2	/usr/local/lib/R/site-library
minqa	1.2.8	/usr/local/lib/R/site-library
modelr	0.1.11	/usr/local/lib/R/site-library
monocle3	1.4.27	/usr/local/lib/R/site-library
nlme	3.1-169	/usr/local/lib/R/site-library
nlme	3.1-168	/usr/local/lib/R/library
nloptr	2.2.1	/usr/local/lib/R/site-library
